,Date,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,1499990400000,0.08000000,0.09103300,0.08000000,0.09099300,1942.05700000,1500076799999,170.23852396,1994,1076.40500000,94.82527222,22262.26697743
1,1500076800000,0.09099300,0.09369900,0.08712700,0.08763500,4013.06600000,1500163199999,363.03178785,4623,2250.31800000,203.54149755,22275.36801826
2,1500163200000,0.08750800,0.08763500,0.07559100,0.08224100,8904.15800000,1500249599999,722.21248196,8137,5557.57500000,450.34388688,22295.47295841
3,1500249600000,0.08236800,0.08839400,0.08169900,0.08753700,6650.93300000,1500335999999,568.24653804,7639,3859.48500000,329.66875309,22165.74281157
4,1500336000000,0.08783100,0.10906800,0.08477700,0.10773200,7245.74100000,1500422399999,674.49785037,8121,4202.05500000,393.11140275,22505.62469176
5,1500422400000,0.10773200,0.10873200,0.08429000,0.08685300,7384.97600000,1500508799999,723.00911562,8314,4794.26200000,468.26023838,22694.83280054
6,1500508800000,0.08714400,0.09525200,0.07498200,0.08050900,6395.16000000,1500595199999,564.01770441,6535,4266.26100000,375.19828457,22680.25672156
7,1500595200000,0.08038300,0.08751100,0.07963500,0.08158100,7434.38900000,1500681599999,618.20894652,7839,4604.94700000,382.99257488,22725.62782143
8,1500681600000,0.08158600,0.08473300,0.07985600,0.08247400,7979.89900000,1500767999999,651.60703581,8841,4460.35800000,364.37225928,22661.58158102
9,1500768000000,0.08231200,0.08456000,0.08141700,0.08353300,6340.79900000,1500854399999,527.55598124,7032,3714.15200000,309.05616001,22494.29294971
10,1500854400000,0.08343800,0.08397300,0.08226500,0.08316100,7380.24400000,1500940799999,612.72702417,8346,3931.11600000,326.44455142,22474.16443102
11,1500940800000,0.08314900,0.08314900,0.07548200,0.07965400,7845.03200000,1501027199999,634.98369428,8099,4588.86500000,371.28600482,22508.98528992
12,1501027200000,0.07967600,0.08117200,0.07761000,0.07989200,7496.73800000,1501113599999,599.43177658,8700,4326.59700000,345.79967266,25796.90357168
13,1501113600000,0.07981500,0.08186700,0.07705900,0.07744900,8311.20600000,1501199999999,667.17746185,9001,4442.54300000,356.68582013,25618.59992375
14,1501200000000,0.07705900,0.07785900,0.06682700,0.06880200,11013.82400000,1501286399999,790.35738935,11121,5919.01600000,425.02549738,25589.59179554
15,1501286400000,0.06879700,0.07681400,0.06433500,0.07577300,14305.36900000,1501372799999,982.45449195,13734,7259.96600000,498.44887227,25845.85312057
16,1501372800000,0.07600900,0.07668400,0.06987600,0.07010900,12989.76500000,1501459199999,952.07968700,13038,6641.97700000,486.80260453,25973.49745228
17,1501459200000,0.07040600,0.07334100,0.06759000,0.07248400,12029.45000000,1501545599999,857.24421228,12674,6058.30400000,431.74541787,25543.75751672
18,1501545600000,0.07245900,0.08526000,0.07237000,0.08356800,13623.22700000,1501631999999,1070.58897241,12474,6716.24300000,527.65028424,25752.88474734
19,1501632000000,0.08356800,0.08496700,0.07963000,0.08016000,13678.63000000,1501718399999,1115.12601961,13297,6878.69000000,560.98509007,26180.31477711
20,1501718400000,0.08016800,0.08379500,0.07827700,0.07896500,11389.11600000,1501804799999,919.31447250,12318,5792.35800000,467.60784097,26410.13557257
21,1501804800000,0.07896500,0.08071000,0.07633200,0.07647500,12523.98500000,1501891199999,981.51828688,13124,6230.74300000,488.40851988,26198.63722539
22,1501891200000,0.07656300,0.07932200,0.07132500,0.07916000,12348.25500000,1501977599999,944.28885525,12351,6213.19400000,474.98887142,25982.58680144
23,1501977600000,0.07916000,0.08315100,0.07851000,0.08102900,13069.28400000,1502063999999,1052.56125721,13121,6764.02500000,544.75007561,27058.31831125
24,1502064000000,0.08102900,0.08247500,0.07954700,0.08117100,13667.77500000,1502150399999,1107.69611104,13657,6659.37200000,539.81376919,27612.02406809
25,1502150400000,0.08117100,0.08744400,0.07800000,0.08529600,14885.59200000,1502236799999,1225.48669378,12549,7767.23100000,638.81585555,28678.11662089
26,1502236800000,0.08533100,0.09357800,0.08037200,0.08315900,15503.61300000,1502323199999,1367.06462099,13223,7853.82700000,692.24501656,29912.24292863
27,1502323200000,0.08330300,0.09092000,0.08248900,0.08446600,16483.65500000,1502409599999,1447.36742932,14600,7863.00400000,690.44771889,32608.72402079
28,1502409600000,0.08461300,0.08717800,0.08316700,0.08494100,18017.65500000,1502495999999,1536.48833639,19466,8574.35000000,731.14751485,34582.06809818
29,1502496000000,0.08495000,0.08760100,0.08001000,0.08016300,15210.94600000,1502582399999,1274.94670235,15661,7546.02500000,632.38789867,35841.98655465
30,1502582400000,0.08018200,0.08045900,0.06800700,0.07382400,20955.91500000,1502668799999,1533.75840576,20875,10336.51000000,755.85995852,40432.13669564
31,1502668800000,0.07385000,0.07991100,0.06853500,0.07089900,28508.69000000,1502755199999,2068.81079592,29214,12371.91300000,895.36873599,46793.27165270
32,1502755200000,0.07089900,0.07520000,0.06616100,0.06939500,28889.16500000,1502841599999,2022.91292395,22507,12518.13100000,876.20248789,45076.38797677
33,1502841600000,0.06939500,0.07666900,0.06831000,0.06974300,22035.26900000,1502927999999,1572.47841719,21235,9693.43900000,691.48619731,46333.43537881
34,1502928000000,0.06973500,0.07225400,0.06807700,0.07047900,24002.43100000,1503014399999,1686.62915217,21902,11539.09200000,810.81256560,50579.87228839
35,1503014400000,0.07047900,0.07300500,0.06956500,0.07143300,29861.75600000,1503100799999,2119.47248450,24863,13550.89800000,961.63183257,55329.57432378
36,1503100800000,0.07118700,0.07374100,0.06992500,0.07003600,19918.66500000,1503187199999,1423.13687305,17925,9557.49600000,683.21015383,58005.17104565
37,1503187200000,0.07034700,0.07300000,0.06900000,0.07219800,22530.29400000,1503273599999,1604.55621322,25211,10076.75100000,718.12849409,60299.06615403
38,1503273600000,0.07219800,0.08865800,0.07150900,0.08052000,48283.41600000,1503359999999,3853.92734961,38628,23734.14000000,1891.11375598,66203.84022245
39,1503360000000,0.08068800,0.08450000,0.07001000,0.07682500,42660.05000000,1503446399999,3403.45228003,37676,20201.66300000,1614.02561432,66821.52067468
40,1503446400000,0.07679400,0.07968900,0.07416400,0.07706000,41661.39200000,1503532799999,3190.72741408,39489,20838.57100000,1595.23480397,76587.70953099
41,1503532800000,0.07706000,0.07864900,0.07456700,0.07533900,44430.69200000,1503619199999,3397.32062849,32387,22261.02600000,1701.70345517,102226.34289434
42,1503619200000,0.07530200,0.07790000,0.07474200,0.07658700,35690.37700000,1503705599999,2730.55917422,27997,18864.97100000,1443.15919576,106332.85796088
43,1503705600000,0.07659300,0.07870800,0.07526900,0.07664700,31475.75200000,1503791999999,2413.90019830,21898,16968.25600000,1301.70908479,92462.65806951
44,1503792000000,0.07664700,0.08260000,0.07537700,0.08043600,36949.12700000,1503878399999,2863.88871942,27862,20213.33400000,1567.03995873,88406.05374074
45,1503878400000,0.08064900,0.08188400,0.07850100,0.07963200,28745.66800000,1503964799999,2298.99136802,22410,15654.07100000,1252.20986331,82902.92984582
46,1503964800000,0.07963200,0.08440200,0.07903700,0.08155100,32574.22100000,1504051199999,2646.16066127,27038,17225.96900000,1399.18224611,85024.54473430
